created_date,country,order_id,Coupon,AED_gross_amount,AED_net_amount
"Sep 7, 2025",AE,BAE18212158,DD10,135,135
"Sep 3, 2025",AE,BAE18210105,DD17,391.5,391.5
"Sep 2, 2025",AE,BAE18209694,TT2,1755,1755
"Sep 1, 2025",KW,BKW19413764,TT54,2357.05,2357.05
"Aug 31, 2025",KW,BKW19413142,TT54,581.74,0
"Aug 31, 2025",AE,BAE18208577,TT54,1576.8000000000002,1576.8000000000002
"Aug 30, 2025",AE,BAE18208531,TT54,2841.3,2143.8
"Aug 29, 2025",KW,BKW19411269,GDT2,2272.6800000000003,2272.6800000000003
"Aug 29, 2025",AE,BAE18207791,TT72,121.5,121.5
"Aug 29, 2025",KW,BKW19411243,TT16,634.5450000000001,634.5450000000001
"Aug 29, 2025",AE,BAE18207353,FAM,3268.8,3268.8
"Aug 26, 2025",KW,BKW19408882,TT28,240.72,240.72
"Aug 26, 2025",AE,BAE18205938,TT16,360,360
"Aug 10, 2025",AE,BAE17812304,DD4,1125,1125
"Aug 10, 2025",KW,BKW17551133,TT99,488.52,488.52
"Aug 9, 2025",KW,BKW17550217,DD5,882.64,882.64
"Aug 9, 2025",KW,BKW17550475,HBH,1008.9,1008.9
