Date,Brand,ORDER ID,Market,Coupon Code,Affiliate Orders,Affiliate Revenue,Affiliate Cost,New Customers,New Cust. Revenue,Old Customers,Old Cust. Revenue,CIR,Affiliate ROI
"Aug 25, 2025",wes,WESAHDE0463245,ksa,vj33,1,10.779320877335483,0,0,0,1,10.779320877335483,0,-
"Aug 25, 2025",wes,WESAHDA0453648,ksa,vj33,1,412.34630381803345,0,0,0,1,412.34630381803345,0,-
"Aug 25, 2025",vs,VSSAHDA0715939,ksa,vdzm,1,60.43662713241258,5,1,60.43662713241258,0,0,0.0827312879166029,12.087325426482517
"Aug 25, 2025",pk,PKSAHDA0301997,ksa,voie,1,41.57547847278629,5.287139723801779,1,41.57547847278629,0,0,0.12716966630372126,7.863510450768068
"Aug 25, 2025",pk,PKSAHDA0301961,ksa,vq22,1,53.45456701868392,0,0,0,1,53.45456701868392,0,-
"Aug 25, 2025",pk,PKKWHDE0183911,kwt,vq22,1,32.38664,0,0,0,1,32.38664,0,-
"Aug 25, 2025",pk,PKKWHDE0183794,kwt,vq22,1,16.658796,0,0,0,1,16.658796,0,-
"Aug 25, 2025",pk,PKAEHDE0603218,uae,vc55,1,39.77647869778261,0,0,0,1,39.77647869778261,0,-
"Aug 25, 2025",pb,PBSAHDE0423878,ksa,vdwa,1,274.9712087733546,0,0,0,1,274.9712087733546,0,-
"Aug 25, 2025",pb,PBSAHDA0267251,ksa,vuv2,1,186.97914378553992,0,0,0,1,186.97914378553992,0,-
"Aug 25, 2025",mc,MCSAHDA3335708,ksa,vaak9,1,129.20805523964236,4,1,129.20805523964236,0,0,0.03095782219290581,32.30201380991059
"Aug 25, 2025",hm,HMSASSA4704656,ksa,v5ng,1,17.596282696994287,2,0,0,1,17.596282696994287,0.11366036988833048,8.798141348497143
"Aug 25, 2025",hm,HMSAHDE3130481,ksa,vb3j,1,16.334079610073086,2,0,0,1,16.334079610073086,0.12244338510304659,8.167039805036543
"Aug 25, 2025",hm,HMSAHDA4705421,ksa,v5ng,1,56.09880259951251,2,0,0,1,56.09880259951251,0.035651384830402415,28.049401299756255
"Aug 25, 2025",hm,HMSAHDA4704917,ksa,vgvq,1,117.54732250203068,8,1,117.54732250203068,0,0,0.06805769650654353,14.693415312753835
"Aug 25, 2025",hm,HMSAHDA4704860,ksa,vgvq,1,35.96479935012179,2,0,0,1,35.96479935012179,0.055609930713911446,17.982399675060893
"Aug 25, 2025",hm,HMSAHDA4704725,ksa,v5ng,1,116.14931275385847,2,0,0,1,116.14931275385847,0.017219215099777335,58.074656376929234
"Aug 25, 2025",hm,HMSAHDA4703301,ksa,vgvq,1,27.880308692120185,2,0,0,1,27.880308692120185,0.0717352172131889,13.940154346060092
"Aug 25, 2025",hm,HMSAHDA4636006,ksa,v5ng,1,27.71787327376113,2,0,0,1,27.71787327376113,0.07215560805284732,13.858936636880564
"Aug 25, 2025",hm,HMKWSSE3482339,kwt,viau,1,9.3423,2,0,0,1,9.3423,0.21408004452864926,4.67115
"Aug 25, 2025",hm,HMKWHDE3484547,kwt,vgvq,1,54.49675,2,0,0,1,54.49675,0.036699436204911305,27.248375
"Aug 25, 2025",hm,HMAEHDE7576655,uae,vgvq,1,816.2086604102657,2,0,0,1,816.2086604102657,0.002450353809030529,408.10433020513284
"Aug 25, 2025",hm,HMAEHDE7576085,uae,vbog,1,33.06857071671791,2,0,0,1,33.06857071671791,0.060480388376413695,16.534285358358954
"Aug 25, 2025",hm,HMAEHDE7574513,uae,vbog,1,22.16822024748777,2,0,0,1,22.16822024748777,0.09021924077223346,11.084110123743885
"Aug 25, 2025",hm,HMAEHDE7574498,uae,vgvq,1,65.21153724773696,2,0,0,1,65.21153724773696,0.03066941962128651,32.60576862386848
"Aug 25, 2025",fl,FLSAHDA0827221,ksa,v8cm,1,137.4842729488219,6,1,137.4842729488219,0,0,0.04364135527147517,22.91404549147032
"Aug 25, 2025",fl,FLSAHDA0827113,ksa,veh7,1,197.97948334687214,6,1,197.97948334687214,0,0,0.03030617061207112,32.996580557812024
"Aug 25, 2025",fl,FLKWHDE0967531,kwt,v8cm,1,77.8525,6,0,0,1,77.8525,0.07706881603031372,12.975416666666668
"Aug 25, 2025",bbw,BWSAHDAC133914,ksa,vv0t,1,42.89360194963437,5,1,42.89360194963437,0,0,0.11656750127608764,8.578720389926875
"Aug 25, 2025",aeo,AESAHDA2442395,ksa,van1,1,48.99691307879765,4,1,48.99691307879765,0,0,0.0816377961110965,12.249228269699412
"Aug 25, 2025",aeo,AESAHDA2442221,ksa,van1,1,118.44471161657171,2,0,0,1,118.44471161657171,0.016885515382690824,59.222355808285855
"Aug 24, 2025",pk,PKSAHDE0303872,ksa,vq22,1,10.339946385052786,0,0,0,1,10.339946385052786,0,-
"Aug 24, 2025",nb,NBSAHDA0083459,ksa,v2ih,1,203.18806823720521,7.010020308692109,1,203.18806823720521,0,0,0.034500157265674146,28.985375118708454
"Aug 24, 2025",nb,NBSAHDA0083372,ksa,vw6m,1,104.19832656376911,3.594882209585697,1,104.19832656376911,0,0,0.034500383337592644,28.98518518518518
"Aug 24, 2025",nb,NBSAHDA0083318,ksa,v2ih,1,130.2492396425668,4.493602761982121,1,130.2492396425668,0,0,0.03450003066669392,28.985481481481482
"Aug 24, 2025",mc,MCAESSE1966442,uae,vev2n,1,17.502086205464682,0,0,0,1,17.502086205464682,0,-
"Aug 24, 2025",mc,MCAEHDE1966496,uae,v2t2b,1,21.00032555435597,0,0,0,1,21.00032555435597,0,-
"Aug 24, 2025",hm,HMSAHDE3128995,ksa,v5ng,1,172.67950121852127,2,0,0,1,172.67950121852127,0.011582150665753046,86.33975060926063
"Aug 24, 2025",hm,HMSAHDA4703896,ksa,vjoa,1,16.499177904142947,2,0,0,1,16.499177904142947,0.12121816078471398,8.249588952071473
"Aug 24, 2025",hm,HMKWHDE3481267,kwt,vgvq,1,59.105618,2,0,0,1,59.105618,0.03383773095816374,29.552809
"Aug 24, 2025",fl,FLSAHDA0826807,ksa,v8cm,1,159.48228919577554,6,1,159.48228919577554,0,0,0.037621732358221825,26.580381532629257
"Aug 24, 2025",bbw,BWSAHDEC061368,ksa,vjzd,1,65.99404874086098,5,1,65.99404874086098,0,0,0.07576440747912762,13.198809748172195
"Aug 24, 2025",bbw,BWSAHDAC133542,ksa,vwjd,1,100.08950934199824,3,0,0,1,100.08950934199824,0.029973171211672426,33.36316978066608
"Aug 24, 2025",bbw,BWSAHDAC133536,ksa,vwjd,1,85.78986677497954,3,0,0,1,85.78986677497954,0.03496916492327442,28.596622258326516
"Aug 24, 2025",bbw,BWSAHDAC133533,ksa,vwjd,1,102.28904467912251,3,0,0,1,102.28904467912251,0.029328654006017016,34.09634822637417
"Aug 24, 2025",bbw,BWSAHDAC133455,ksa,vzvz,1,16.49917790414295,5,1,16.49917790414295,0,0,0.3030454019617849,3.29983558082859
"Aug 24, 2025",bbw,BWSAHDAC132288,ksa,vv0t,1,105.58834768480894,3,0,0,1,105.58834768480894,0.02841222602474356,35.19611589493631
"Aug 23, 2025",vs,VSSAHDA0715696,ksa,vrq3,1,36.47074573517459,5,1,36.47074573517459,0,0,0.13709618213750147,7.294149147034918
"Aug 23, 2025",vs,VSSAHDA0715243,ksa,ve81,1,72.9388285946384,5,1,72.9388285946384,0,0,0.06855059364591361,14.58776571892768
"Aug 23, 2025",pk,PKAEHDA0038015,uae,vq22,1,18.47397060044849,0,0,0,1,18.47397060044849,0,-
"Aug 23, 2025",nb,NBSAHDA0083120,ksa,vxmx,1,104.19832656376911,3.594882209585697,1,104.19832656376911,0,0,0.034500383337592644,28.98518518518518
"Aug 23, 2025",mc,MCSAHDA3335177,ksa,vy9kh,1,106.07299106417531,0,0,0,1,106.07299106417531,0,-
"Aug 23, 2025",mc,MCQAHDE0200852,qat,vaak9,1,73.99548532731374,4,1,73.99548532731374,0,0,0.054057352043929245,18.498871331828436
"Aug 23, 2025",mc,MCKWSSE0907484,kwt,vx4ty,1,8.8506,0,0,0,1,8.8506,0,-
"Aug 23, 2025",mc,MCKWSSE0907427,kwt,vaak9,1,4.5728100000000005,0,0,0,1,4.5728100000000005,0,-
"Aug 23, 2025",mc,MCAESSE1966373,uae,vx4ty,1,16.799715970434363,0,0,0,1,16.799715970434363,0,-
"Aug 23, 2025",hm,HMSASSE3127878,ksa,vgvq,1,28.59395938261572,2,0,0,1,28.59395938261572,0.06994484300820336,14.29697969130786
"Aug 23, 2025",hm,HMSASSA4703370,ksa,vqwt,1,41.57547847278629,2,0,0,1,41.57547847278629,0.04810527920464279,20.787739236393143
"Aug 23, 2025",hm,HMSAHDE3127734,ksa,vkku,1,26.39974979691304,2,0,0,1,26.39974979691304,0.07575829374844541,13.19987489845652
"Aug 23, 2025",hm,HMSAHDA4703334,ksa,vjoa,1,58.95340536149463,8,1,58.95340536149463,0,0,0.13570038831421252,7.369175670186829
"Aug 23, 2025",hm,HMSAHDA4703250,ksa,v01v,1,113.72609585702662,8,1,113.72609585702662,0,0,0.07034445295701863,14.215761982128328
"Aug 23, 2025",hm,HMSAHDA4703148,ksa,vgvq,1,100.08684646628741,2,0,0,1,100.08684646628741,0.01998264577827084,50.043423233143706
"Aug 23, 2025",hm,HMSAHDA4679931,ksa,vjoa,1,92.17011697806646,2,0,0,1,92.17011697806646,0.02169900685355467,46.08505848903323
"Aug 23, 2025",hm,HMKWHDA1333758,kwt,vgvq,1,125.29827199999998,2,0,0,1,125.29827199999998,0.015961912068508017,62.64913599999999
"Aug 23, 2025",hm,HMAESSE7566357,uae,v8xu,1,19.70447969437756,2,0,0,1,19.70447969437756,0.10149976203485729,9.85223984718878
"Aug 23, 2025",fl,FLSAHDA0826516,ksa,v8cm,1,137.4842729488219,6,1,137.4842729488219,0,0,0.04364135527147517,22.91404549147032
"Aug 23, 2025",bbw,BWSAHDAC131653,ksa,vv0t,1,68.19358407798528,3,0,0,1,68.19358407798528,0.04399240838506508,22.73119469266176
